Plate,SampleID,watershedCode,Location,Metacode,Species,Group,SiteID,Watershed_basin,Sampling_Year,Starting_Material
alignWWH1_PL9,3103-337,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-338,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-339,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-345,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-346,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-353,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-354,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-361,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-362,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-369,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-370,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-377,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-378,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-385,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-386,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-387,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-393,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-394,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-395,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-401,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-402,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-403,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-409,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-410,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-411,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-417,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-418,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-425,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-426,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-433,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-434,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-435,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-436,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-437,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-438,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-439,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-440,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-441,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-442,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-443,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-444,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-445,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-446,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-447,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-448,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-449,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-450,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-451,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-452,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-453,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-454,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-455,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
alignWWH1_PL9,3103-456,WC,WC,WWH_WC,Lahontan Cutthroat Trout,LCT,,Willow Creek,2020,Fin clips
